id,title,name,date_of_death,public_domain,published,mode,label,filename,source,annotation
1,Allan Quatermain,"Haggard, H. Rider",1925,yes,1887,Novel,adventure,Haggard_AllanQuatermain.txt,https://www.gutenberg.org/files/711/711-0.txt,
2,Montezuma's Daughter,"Haggard, H. Rider",1925,yes,1892,Novel,adventure,Haggard_MontezumasDaughter.txt,https://www.gutenberg.org/files/1848/1848-0.txt,
3,She: A History Of Adventure,"Haggard, H. Rider",1925,yes,1886,Novel,adventure,Haggard_She.txt,https://github.com/ajtran303/gothic_corpus,
4,Caves of Terror,"Mundy, Talbot",1940,yes,1924,Short Story,adventure,Mundy_CavesOfTerror.txt,https://www.gutenberg.org/cache/epub/18970/pg18970.txt,
5,Guns of the Gods,"Mundy, Talbot",1940,yes,,Short Story,adventure,Mundy_GunsOfTheGods.txt,https://www.gutenberg.org/cache/epub/5606/pg5606.txt,
6,The Ivory Trail,"Mundy, Talbot",1940,yes,,Short Story,adventure,Mundy_IvoryTrail.txt,https://www.gutenberg.org/cache/epub/5194/pg5194.txt,
7,King of the Khyber Rifles,"Mundy, Talbot",1940,yes,,Short Story,adventure,Mundy_KingOfTheKhyberRifles.txt,https://www.gutenberg.org/files/6066/6066-0.txt,
8,Lion of Petra,"Mundy, Talbot",1940,yes,,Short Story,adventure,Mundy_LionOfPetra.txt,https://www.gutenberg.org/cache/epub/19307/pg19307.txt,
9,Told in the East,"Mundy, Talbot",1940,yes,1920,Short Story,adventure,Mundy_ToldInTheEast.txt,https://www.gutenberg.org/files/5315/5315-0.txt,
10,With Links of Steel,"Coryell, John R.",1924,yes,1904,Novel,crime,Carter_WithLinksOfSteele.txt,https://www.gutenberg.org/cache/epub/14096/pg14096.txt,
11,Dead Man Tell no Tales,"Hornung, Ernest William",1921,yes,1898,Novel,crime,Hornung_DeadManTellNoTales.txt,https://www.gutenberg.org/cache/epub/1703/pg1703.txt,
12,Tarzan of the Apes ,"Burroughs, Edgar Rice",1950,yes,1912,Novel,fantasy,Burroughs_TarzanOfTheApes.txt,https://www.gutenberg.org/files/78/78-0.txt,
13,The Lost World,"Doyle, Arthur Conan",1930,yes,1912,Novel,fantasy,Doyle_TheLostWorld.txt,https://www.gutenberg.org/cache/epub/139/pg139.txt,
14,The Worm Ouroboros,"Eddison, Eric R.",1945,yes,1922,Novel,fantasy,Eddision_TheWormOruboros.txt,https://www.gutenberg.org/cache/epub/67090/pg67090.txt,
15,The House on the Borderland ,"Hodgson, William Hope",1918,yes,1908,Novel,fantasy,Hodgson_TheHouseOnTheBorderlands.txt,https://www.gutenberg.org/cache/epub/10002/pg10002.txt,
16,Red Nails,"Howard, Robert E.",1936,yes,1936,Short Story,fantasy,Howard_RedNails.txt,https://www.gutenberg.org/files/32759/32759-0.txt,
17,The Phoenix on the Sword,"Howard, Robert E.",1936,yes,1932,Short Story,fantasy,Howard_ThePhoenixAndTheSword.txt,http://gutenberg.net.au/ebooks06/0600811h.html,
18,The Call of Cthulhu,"Lovecraft, Howard Phillips",1937,yes,1926,Short Story,horror,Lovecraft_CallOfCthulhu.txt,https://www.hplovecraft.com/writings/texts/fiction/cc.aspx,
19,The Colour Out of Space,"Lovecraft, Howard Phillips",1937,yes,1927,Short Story,horror,Lovecraft_ColourOutOfSpace.txt,https://www.hplovecraft.com/writings/texts/fiction/cs.aspx,
20,The Dunwich Horror,"Lovecraft, Howard Phillips",1937,yes,1928,Short Story,horror,Lovecraft_DunwichHorror.txt,https://www.hplovecraft.com/writings/texts/fiction/dh.aspx,
21,Caged Horror,"Zagat, Arthur Leo",1949,yes,1935,Short Story,horror,Zagat_CagedHorror.txt,https://gutenberg.net.au/ebooks14/1400871h.html,
22,Riverfront Horror,"Zagat, Arthur Leo",1949,yes,1935,Short Story,horror,Zagat_RiverfrontHorror.txt,https://gutenberg.net.au/ebooks13/1304461h.html,
23,Soft Blows the Breeze from Hell!,"Zagat, Arthur Leo",1949,yes,1937,Short Story,horror,Zagat_SoftBlowsTheBreezeFromHell.txt,https://gutenberg.net.au/ebooks13/1304721h.html,
24,In Search of the Unknown,"Chambers, Robert W.",1933,yes,1904,Novel,science fiction,Chambers_SearchOfTheUnknown.txt,https://www.gutenberg.org/cache/epub/18668/pg18668.txt,
25,The War of The Worlds,"Wells, Herbert Georg",1946,yes,1898,Novel,science fiction,Wells_WarOfTheWorlds.txt,https://gutenberg.org/cache/epub/36/pg36.txt,
26,The Repairer of Reputations,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheRepairerOfReputations.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
27,The Mask,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheMask.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
28,The Court of the Dragon,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheCourtOfTheDragon.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
29,The Yellow Sign,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheYellowSign.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
30,The Demoiselle D'ys,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheDemoiselleDys.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
31,The Prophets' Paradise,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheProphetsParadise.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
32,The Street of our Lady of the Fields,"Chambers, Robert W.",1933,yes,1895,Short Story,horror,Chambers_TheStreetOfOurLady.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
33,Masque of the Red Death,"Poe, Edgar Allen",1849,yes,1842,Short Story,horror,Poe_MasqueOfTheRedDeath.txt,https://www.gutenberg.org/cache/epub/8492/pg8492.txt,
